title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Match Score,Abstract Status,Abstract Error
Large language model-based agents for software engineering: A survey,J Liu; K Wang; Y Chen; X Peng; Z Chen,2024.0,ACM Transactions on …,"The synergy between multiple agents and human interaction brings  LLM-based agents  for SE. We collect 124 papers and categorize them from two perspectives, ie, the SE and agent",https://dl.acm.org/doi/abs/10.1145/3796507,https://dl.acm.org/doi/pdf/10.1145/3796507,193,"/scholar?cites=10431165992050133755&as_sdt=5,33&sciodt=0,33&hl=en",Large language model-based agents for software engineering: A survey,"The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 124 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List.",https://doi.org/10.48550/arxiv.2409.02977,OpenAlex,1.0,found,
LLM-Based Agents for Tool Learning: A Survey: W. Xu et al.,W Xu; C Huang; S Gao; S Shang,2025.0,Data Science and Engineering,"[111] propose decomposing the general multi-agent framework into three  LLM agent, with  each agent specializing in its designated task and collaboratively interacting with other agents",https://link.springer.com/article/10.1007/s41019-025-00296-9,https://link.springer.com/article/10.1007/s41019-025-00296-9,46,"/scholar?cites=2464249754623208169&as_sdt=5,33&sciodt=0,33&hl=en",LLM-Based Agents for Tool Learning: A Survey: W. Xu et al.,"Abstract Human beings capable of making and using tools can accomplish tasks far beyond their innate abilities, and this paradigm of integration with tools may not be limited to humans themselves. Recently, the large language model (LLM) has demonstrated immense potential across various fields with its unique planning and reasoning abilities. However, there are still many challenges beyond its capabilities due to deficiencies in its training data and inherent illusions. Thus, integrating LLMs and tools into tool learning agents has become a new emerging research direction. To this end, we present a systematic investigation and comprehensive review of tool-learning agents in this paper. We start by introducing the definition of the tool learning task for Agents and then illustrating the typical architecture of the tool-learning models. Since these tools are all defined by users, LLM does not know what tools there are and what their functions are. Thus, LLMs should first find appropriate tools and split the tool retrieval methods into two categories: training-based and non-training-based. To accurately complete the user task, it is important to decompose the task into several sub-tasks and execute them in the correct order. Following that, we introduce the tool planning methods and organize these works by whether they rely on the model’s inherent reasoning capabilities for planning or utilize external reasoning tools. Due to the rapid development of this field, we also introduce an emerging frontier direction: using multimodal tools for LLM. In addition, we compile current open-source benchmarks and evaluation metrics, focusing on their scale, composition, calculation methods, and assessment dimensions. Next, we introduce several application scenarios for the LLM-based tool learning methods. Finally, we discuss the safety and ethical issues involved in tool learning.",10.1007/s41019-025-00296-9,Crossref,0.8866,found,
A survey on the optimization of large language model-based agents,S Du; J Zhao; J Shi; Z Xie; X Jiang; Y Bai,2026.0,ACM Computing …,"review of LLM-based agent optimization approaches,  -free strategies that optimize agent  behavior through prompt  for agents, review key applications of LLM-based agents, and",https://dl.acm.org/doi/abs/10.1145/3789261,https://dl.acm.org/doi/full/10.1145/3789261,24,"/scholar?cites=11666181406528668769&as_sdt=5,33&sciodt=0,33&hl=en",A survey on the optimization of large language model-based agents,"With the rapid development of Large Language Models (LLMs), LLM-based agents have been widely adopted in various fields, becoming essential for autonomous decision-making and interactive tasks. However, current work typically relies on prompt design or fine-tuning strategies applied to vanilla LLMs, which often leads to limited effectiveness in complex agent-related environments. Although numerous recent studies have explored various strategies to optimize LLM-based agents for complex agent tasks, a systematic review summarizing and comparing these methods from a holistic perspective remains lacking. In this survey, we provide a comprehensive review of LLM-based agent optimization approaches, categorizing them into parameter-driven and parameter-free methods. We first focus on parameter-driven optimization, covering fine-tuning-based optimization, reinforcement learning-based optimization, and hybrid strategies, analyzing key aspects such as trajectory data construction, reward function design, and optimization algorithms. Additionally, we briefly discuss parameter-free strategies that optimize agent behavior through prompt engineering and external knowledge retrieval. Finally, we summarize the evaluation for agents, review key applications of LLM-based agents, and discuss the major challenges and promising future directions. A curated collection of the surveyed works is provided at https://github.com/YoungDubbyDu/LLM-Agent-Optimization.",https://doi.org/10.1145/3789261,OpenAlex,1.0,found,
Isolategpt: An execution isolation architecture for llm-based agentic systems,Y Wu; F Roesner; T Kohno; N Zhang; U Iqbal,2024.0,arXiv preprint arXiv …,"LLM vendors have recently also started supporting third-party apps [18], [19], [3], which is   utility of LLM-based systems. 1) LLM apps architecture: The exact LLM application architecture",https://arxiv.org/abs/2403.04960,https://arxiv.org/pdf/2403.04960,65,"/scholar?cites=5724991464492422897&as_sdt=5,33&sciodt=0,33&hl=en",Isolategpt: An execution isolation architecture for llm-based agentic systems,"Large language models (LLMs) extended as systems, such as ChatGPT, have begun supporting third-party applications. These LLM apps leverage the de facto natural language-based automated execution paradigm of LLMs: that is, apps and their interactions are defined in natural language, provided access to user data, and allowed to freely interact with each other and the system. These LLM app ecosystems resemble the settings of earlier computing platforms, where there was insufficient isolation between apps and the system. Because third-party apps may not be trustworthy, and exacerbated by the imprecision of natural language interfaces, the current designs pose security and privacy risks for users. In this paper, we evaluate whether these issues can be addressed through execution isolation and what that isolation might look like in the context of LLM-based systems, where there are arbitrary natural language-based interactions between system components, between LLM and apps, and between apps. To that end, we propose IsolateGPT, a design architecture that demonstrates the feasibility of execution isolation and provides a blueprint for implementing isolation, in LLM-based systems. We evaluate IsolateGPT against a number of attacks and demonstrate that it protects against many security, privacy, and safety issues that exist in non-isolated LLM-based systems, without any loss of functionality. The performance overhead incurred by IsolateGPT to improve security is under 30% for three-quarters of tested queries.",https://doi.org/10.48550/arxiv.2403.04960,OpenAlex,1.0,found,
"Repairagent: An autonomous, llm-based agent for program repair",I Bouzenia; P Devanbu; M Pradel,2025.0,2025 IEEE/ACM 47th …,A key novelty in our approach is to let an LLM agent autonomously decide which tools to  invoke to fix a bug. The tools we provide to the agent (Table II) are inspired by the tools that,https://ieeexplore.ieee.org/abstract/document/11029914/,https://arxiv.org/pdf/2403.17134?,308,"/scholar?cites=15142625290678404182&as_sdt=5,33&sciodt=0,33&hl=en","Repairagent: An autonomous, llm-based agent for program repair","Automated program repair has emerged as a powerful technique to mitigate the impact of software bugs on system reliability and user experience. This paper introduces Repair Agent, the first work to address the program repair challenge through an autonomous agent based on a large language model (LLM). Unlike existing deep learning-based approaches, which prompt a model with a fixed prompt or in a fixed feedback loop, our work treats the LLM as an agent capable of autonomously planning and executing actions to fix bugs by invoking suitable tools. Repair Agent freely interleaves gathering information about the bug, gathering repair ingredients, and validating fixes, while deciding which tools to invoke based on the gathered information and feedback from previous fix attempts. Key contributions that enable Repair Agent include a set of tools that are useful for program repair, a dynamically updated prompt format that allows the LLM to interact with these tools, and a finite state machine that guides the agent in invoking the tools. Our evaluation on the popular Defects4J dataset demonstrates Repair Agent's effectiveness in autonomously repairing 164 bugs, including 39 bugs not fixed by prior techniques. Interacting with the LLM imposes an average cost of 270k tokens per bug, which, under the current pricing of OpenAI's GPT-3.5 model, translates to 14 cents per bug. To the best of our knowledge, this work is the first to present an autonomous, LLM-based agent for program repair, paving the way for future agent-based techniques in software engineering.",https://doi.org/10.1109/icse55347.2025.00157,OpenAlex,1.0,found,
"Frontiers of large language model-based agentic systems-construction, efficacy and safety",J He; R Ghosh; K Walia; J Chen; T Dhadiwal,2024.0,Proceedings of the 33rd …,"Large Language Model (LLM)-based autonomous agents,  The tutorial also extends the  discussion to multi-agent  -source frameworks for LLM-based agent development and discusses",https://dl.acm.org/doi/abs/10.1145/3627673.3679105,https://dl.acm.org/doi/pdf/10.1145/3627673.3679105,11,"/scholar?cites=10569559045420325030&as_sdt=5,33&sciodt=0,33&hl=en","Frontiers of large language model-based agentic systems-construction, efficacy and safety",,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22Frontiers+of+large+language+model-based+agentic+systems-construction%2C+efficacy+and+safety%22&start=0&max_results=5
Trustagent: Towards safe and trustworthy llm-based agents through agent constitution,W Hua; X Yang; M Jin; Z Li; W Cheng,2024.0,… Models and AI Agents …,", measuring how well the LLM agent manages task achievement while mitigating these risks;  the helpfulness metric evaluates the effectiveness of the LLM agent in achieving expected",https://openreview.net/forum?id=ejl3NCLQBj,https://openreview.net/pdf?id=ejl3NCLQBj,73,"/scholar?cites=11521194880053734097&as_sdt=5,33&sciodt=0,33&hl=en",Trustagent: Towards safe and trustworthy llm-based agents through agent constitution,"The rise of LLM-based agents shows great potential to revolutionize task planning, capturing significant attention.Given that these agents will be integrated into high-stake domains, ensuring their reliability and safety is crucial.This paper presents an Agent-Constitutionbased agent framework, TrustAgent, with a particular focus on improving the LLM-based agent safety.The proposed framework ensures strict adherence to the Agent Constitution through three strategic components: preplanning strategy which injects safety knowledge to the model before plan generation, inplanning strategy which enhances safety during plan generation, and post-planning strategy which ensures safety by post-planning inspection.Our experimental results demonstrate that the proposed framework can effectively enhance an LLM agent's safety across multiple domains by identifying and mitigating potential dangers during the planning.Further analysis reveals that the framework not only improves safety but also enhances the helpfulness of the agent.Additionally, we highlight the importance of the LLM reasoning ability in adhering to the Constitution.This paper sheds light on how to ensure the safe integration of LLM-based agents into human-centric environments.Data and code are available at https://github.com/ agiresearch/TrustAgent.",https://doi.org/10.18653/v1/2024.findings-emnlp.585,OpenAlex,0.8058,found,
Exploration of llm multi-agent application implementation based on langgraph+ crewai,Z Duan; J Wang,2024.0,arXiv preprint arXiv:2411.18241,"(LLM) and a multi-agent  autonomous agents based on LLM can leverage the framework  capabilities of LangGraph and CrewAI to automatically perform various tasks, endowing Agents",https://arxiv.org/abs/2411.18241,https://arxiv.org/pdf/2411.18241,50,"/scholar?cites=4414536945564259235&as_sdt=5,33&sciodt=0,33&hl=en",Exploration of llm multi-agent application implementation based on langgraph+ crewai,"With the rapid development of large model technology, the application of agent technology in various fields is becoming increasingly widespread, profoundly changing people’s work and lifestyles. In complex and dynamic systems, multi-agents achieve complex tasks that are difficult for a single agent to complete through division of labor and collaboration among agents. This paper discusses the integrated application of LangGraph and CrewAI. LangGraph improves the efficiency of information transmission through graph architecture, while CrewAI enhances team collaboration capabilities and system performance through intelligent task allocation and resource management. The main research contents of this paper are: (1) designing the architecture of agents based on LangGraph for precise control; (2) enhancing the capabilities of agents based on CrewAI to complete a variety of tasks. This study aims to delve into the application of LangGraph and CrewAI in multi-agent systems, providing new perspectives for the future development of agent technology, and promoting technological progress and application innovation in the field of large model intelligent agents.",https://doi.org/10.32388/r27sw4,OpenAlex,1.0,found,
Formal-llm: Integrating formal language and natural language for controllable llm-based agents,Z Li; W Hua; H Wang; H Zhu; Y Zhang,2024.0,arXiv preprint arXiv:2402.00798,"is hardly controllable, current LLM-based agents frequently generate invalid  LLM-based  agents. In response, this paper proposes a novel “Formal-LLM” framework for LLMbased agents",https://arxiv.org/abs/2402.00798,https://arxiv.org/pdf/2402.00798,51,"/scholar?cites=12382706353753572179&as_sdt=5,33&sciodt=0,33&hl=en",Formal-llm: Integrating formal language and natural language for controllable llm-based agents,"Recent advancements on Large Language Models (LLMs) enable AI Agents to automatically generate and execute multi-step plans to solve complex tasks. However, since LLM's content generation process is hardly controllable, current LLM-based agents frequently generate invalid or non-executable plans, which jeopardizes the performance of the generated plans and corrupts users' trust in LLM-based agents. In response, this paper proposes a novel ""Formal-LLM"" framework for LLM-based agents by integrating the expressiveness of natural language and the precision of formal language. Specifically, the framework allows agent developers to express their requirements or constraints for the planning process as an automaton. A stack-based LLM plan generation process is then conducted under the supervision of the automaton to ensure that the generated plan satisfies the constraints, making the planning process controllable. We conduct experiments on both benchmark tasks and practical real-life tasks, and our framework achieves over 50% overall performance increase, which validates the feasibility and effectiveness of employing Formal-LLM to guide the plan generation of agents, preventing the agents from generating invalid and unsuccessful plans. Further, more controllable LLM-based agents can facilitate the broader utilization of LLM in application scenarios where high validity of planning is essential. The source code of this work is available at https://github.com/agiresearch/Formal-LLM.",https://doi.org/10.48550/arxiv.2402.00798,OpenAlex,1.0,found,
Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective,GA Gabison; RP Xian,2025.0,… the 1st Workshop for Research on Agent …,use of LLM agents and their extended systems through a principalagent perspective. Our   of important aspects of the principal-agent relationship and their potential consequences at,https://aclanthology.org/2025.realm-1.9/,https://aclanthology.org/2025.realm-1.9.pdf,18,"/scholar?cites=16407283115700622006&as_sdt=5,33&sciodt=0,33&hl=en",Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective,,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22Inherent+and+emergent+liability+issues+in+LLM-based+agentic+systems%3A+a+principal-agent+perspective%22&start=0&max_results=5
"Exploring large language model based intelligent agents: Definitions, methods, and prospects",Y Cheng; C Zhang; Z Zhang; X Meng; S Hong,2024.0,arXiv preprint arXiv …,"in-depth overview of LLM-based intelligent agents within single-agent and multi-agent systems.  It  We conclude by envisioning prospects for LLM-based agents, considering the evolving",https://arxiv.org/abs/2401.03428,https://arxiv.org/pdf/2401.03428,251,"/scholar?cites=13524954284397213174&as_sdt=5,33&sciodt=0,33&hl=en","Exploring large language model based intelligent agents: Definitions, methods, and prospects","Intelligent agents stand out as a potential path toward artificial general intelligence (AGI). Thus, researchers have dedicated significant effort to diverse implementations for them. Benefiting from recent progress in large language models (LLMs), LLM-based agents that use universal natural language as an interface exhibit robust generalization capabilities across various applications -- from serving as autonomous general-purpose task assistants to applications in coding, social, and economic domains, LLM-based agents offer extensive exploration opportunities. This paper surveys current research to provide an in-depth overview of LLM-based intelligent agents within single-agent and multi-agent systems. It covers their definitions, research frameworks, and foundational components such as their composition, cognitive and planning methods, tool utilization, and responses to environmental feedback. We also delve into the mechanisms of deploying LLM-based agents in multi-agent systems, including multi-role collaboration, message passing, and strategies to alleviate communication issues between agents. The discussions also shed light on popular datasets and application scenarios. We conclude by envisioning prospects for LLM-based agents, considering the evolving landscape of AI and natural language processing.",https://doi.org/10.48550/arxiv.2401.03428,OpenAlex,1.0,found,
